[1207/203642:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/204602:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/204805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/125800:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/131115:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/131926:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/132459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/132840:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/133844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/134409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/134930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/161237:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/162218:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/175900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/181156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/181733:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/182713:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/183358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1221/201319:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/134016:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/154726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/163055:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/163215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/174824:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/183135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/185415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1222/204941:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1226/174135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/161313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/161421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/161625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/163534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/170426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/170747:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/172225:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/175034:ERROR:file_io.cc(30)] read: expected 4, observed 0
